,Partija,Veids,Vērtība,Name,Datums,Flags,Legislature,Frakcija,Deputāts
0,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda,EUR 50.00,Artūrs Butāns,25/08/2023,,14,Frakcija “Nacionālā apvienība”,Artūrs Butāns
1,"VIENOTĪBA, Partija",Nauda,EUR 25.00,Irma Kalniņa,25/08/2023,,14,Frakcija JAUNĀ VIENOTĪBA,Irma Kalniņa
2,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda,EUR 50.00,Jānis Dombrava,21/08/2023,,14,Frakcija “Nacionālā apvienība”,Jānis Dombrava
3,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda,EUR 20.00,Ģirts Lapiņš,21/08/2023,,14,Frakcija “Nacionālā apvienība”,Ģirts Lapiņš
4,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda,EUR 50.00,Jurģis Klotiņš,21/08/2023,,14,Frakcija “Nacionālā apvienība”,Jurģis Klotiņš
5,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda,EUR 50.00,Edmunds Teirumnieks,21/08/2023,,14,Frakcija “Nacionālā apvienība”,Edmunds Teirumnieks
6,PROGRESĪVIE,Nauda,EUR 150.00,Skaidrīte Ābrama,10/08/2023,,14,Frakcija PROGRESĪVIE,Skaidrīte Ābrama
7,Mēs - Talsiem un novadam,Nauda,EUR 150.00,Skaidrīte Ābrama,10/08/2023,,14,Frakcija PROGRESĪVIE,Skaidrīte Ābrama
8,LATVIJA PIRMAJĀ VIETĀ,Nauda,EUR 2500.00,Ainārs Šlesers,03/08/2023,,14,Frakcija LATVIJA PIRMAJĀ VIETĀ,Ainārs Šlesers
9,"VIENOTĪBA, Partija",Nauda,EUR 25.00,Irma Kalniņa,25/07/2023,,14,Frakcija JAUNĀ VIENOTĪBA,Irma Kalniņa
10,"VIENOTĪBA, Partija",Nauda,EUR 25.00,Irma Kalniņa,25/06/2023,,14,Frakcija JAUNĀ VIENOTĪBA,Irma Kalniņa
11,"Latvijas Reģionu Apvienība, Politiskā partija",Nauda,EUR 200.00,Edvards Smiltēns,22/06/2023,,14,"Frakcija “APVIENOTAIS SARAKSTS – Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija”",Edvards Smiltēns
12,PROGRESĪVIE,Biedra nauda,EUR 500.00,Antoņina Ņenaševa,20/06/2023,,14,Frakcija PROGRESĪVIE,Antoņina Ņenaševa
13,"Kustība ""Par!""",Nauda,EUR 30.00,Mārtiņš Daģis,16/06/2023,,14,Frakcija JAUNĀ VIENOTĪBA,Mārtiņš Daģis
14,"Kustība ""Par!""",Nauda,EUR 20.00,Mārtiņš Daģis,07/06/2023,,14,Frakcija JAUNĀ VIENOTĪBA,Mārtiņš Daģis
15,"Kustība ""Par!""",Nauda,EUR 30.00,Mārtiņš Daģis,03/06/2023,,14,Frakcija JAUNĀ VIENOTĪBA,Mārtiņš Daģis
16,"VIENOTĪBA, Partija",Nauda,EUR 25.00,Irma Kalniņa,25/05/2023,,14,Frakcija JAUNĀ VIENOTĪBA,Irma Kalniņa
17,PROGRESĪVIE,Nauda,EUR 500.00,Andris Sprūds,05/05/2023,,14,Frakcija PROGRESĪVIE,Andris Sprūds
18,PROGRESĪVIE,Nauda,EUR 15.00,Leila Rasima,29/04/2023,,14,Frakcija PROGRESĪVIE,Leila Rasima
19,"VIENOTĪBA, Partija",Nauda,EUR 25.00,Irma Kalniņa,25/04/2023,,14,Frakcija JAUNĀ VIENOTĪBA,Irma Kalniņa
20,"Kustība ""Par!""",Nauda,EUR 10.00,Mārtiņš Daģis,30/03/2023,,14,Frakcija JAUNĀ VIENOTĪBA,Mārtiņš Daģis
21,LATVIJAS ZEMNIEKU SAVIENĪBA (Centriskā partija Latvijas Zemnieku savienība),Nauda,EUR 15.00,Augusts Brigmanis,30/03/2023,,14,Zaļo un Zemnieku savienības frakcija,Augusts Brigmanis
22,LATVIJAS ZEMNIEKU SAVIENĪBA (Centriskā partija Latvijas Zemnieku savienība),Nauda,EUR 15.00,Augusts Brigmanis,30/03/2023,,14,Zaļo un Zemnieku savienības frakcija,Augusts Brigmanis
23,PROGRESĪVIE,Nauda,EUR 300.00,Skaidrīte Ābrama,30/03/2023,,14,Frakcija PROGRESĪVIE,Skaidrīte Ābrama
24,LATVIJAS ZEMNIEKU SAVIENĪBA (Centriskā partija Latvijas Zemnieku savienība),Nauda,EUR 30.00,Kaspars Melnis,29/03/2023,,14,Zaļo un Zemnieku savienības frakcija,Kaspars Melnis
25,LATVIJAS ZEMNIEKU SAVIENĪBA (Centriskā partija Latvijas Zemnieku savienība),Nauda,EUR 15.00,Uldis Augulis,29/03/2023,,14,Zaļo un Zemnieku savienības frakcija,Uldis Augulis
26,Mēs - Talsiem un novadam,Nauda,EUR 150.00,Edgars Zelderis,27/03/2023,,14,Frakcija PROGRESĪVIE,Edgars Zelderis
27,"VIENOTĪBA, Partija",Nauda,EUR 25.00,Irma Kalniņa,25/03/2023,,14,Frakcija JAUNĀ VIENOTĪBA,Irma Kalniņa
28,LATVIJAS ZEMNIEKU SAVIENĪBA (Centriskā partija Latvijas Zemnieku savienība),Nauda,EUR 15.00,Līga Kļaviņa,18/03/2023,,14,Zaļo un Zemnieku savienības frakcija,Līga Kļaviņa
29,LATVIJAS ZEMNIEKU SAVIENĪBA (Centriskā partija Latvijas Zemnieku savienība),Nauda,EUR 15.00,Līga Kozlovska,09/03/2023,,14,Zaļo un Zemnieku savienības frakcija,Līga Kozlovska
30,"Stabilitātei!, Politiskā partija",Manta vai pakalpojums,EUR 871.20,Viktorija Pleškāne,06/03/2023,,14,Frakcija “Stabilitātei!”,Viktorija Pleškāne
