Partija,Veids,Vērtība,Deputāts,Frakcija,Datums
Kustība Par!,Nauda, €  50.00 ,"Golubeva, Marija",Attīstībai/Par!,30/12/2020
Jaunā konservatīvā partija,Nauda, €  70.00 ,"Riekstiņš, Sandis",Jauno Konservatīvo frakcija,30/12/2020
Kustība Par!,Nauda, €  100.00 ,"Dūrītis, Ilmārs",Attīstībai/Par!,29/12/2020
Kustība Par!,Nauda, €  20.00 ,"Voika, Inese",Attīstībai/Par!,29/12/2020
Kustība Par!,Nauda, €  20.00 ,"Voika, Inese",Attīstībai/Par!,29/12/2020
Kustība Par!,Nauda, €  20.00 ,"Voika, Inese",Attīstībai/Par!,29/12/2020
Kustība Par!,Nauda, €  50.00 ,"Tērauda, Vita Anda",Attīstībai/Par!,29/12/2020
Kustība Par!,Nauda, €  100.00 ,"Voika, Inese",Attīstībai/Par!,28/12/2020
Jaunā konservatīvā partija,Nauda, €  155.00 ,"Feldmans, Krišjānis",Jauno Konservatīvo frakcija,28/12/2020
Kustība Par!,Nauda, €  50.00 ,"Šteins, Mārtiņš ",Attīstībai/Par!,28/12/2020
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Teirumnieks, Edmunds",Nacionāla Apvienība VL-TB/LNNK,25/12/2020
Kustība Par!,Biedra nauda, €  50.00 ,"Tērauda, Vita Anda",Attīstībai/Par!,25/12/2020
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  600.00 ,"Ribakovs, Ivans",Saskaņa,23/12/2020
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  200.00 ,"Kucins, Edgars",Saskaņa,22/12/2020
LATVIJAS ZEMNIEKU SAVIENĪBA (Centriskā partija Latvijas Zemnieku savienība),Nauda, €  50.00 ,"Dūklavs, Jānis",Zaļo un Zemnieku Savienība,18/12/2020
Jaunā konservatīvā partija,Nauda, €  80.00 ,"Eglītis, Gatis",Jauno Konservatīvo frakcija,17/12/2020
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Butāns, Jānis",Jauno Konservatīvo frakcija,17/12/2020
"VIENOTĪBA, Partija",Nauda, €  50.00 ,"Kalniņš, Ojārs Ēriks",Jaunā Vienotība,14/12/2020
Kustība Par!,Nauda, €  20.00 ,"Voika, Inese",Attīstībai/Par!,12/12/2020
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Žunna, Normunds ",Jauno Konservatīvo frakcija,11/12/2020
Jaunā konservatīvā partija,Nauda, €  65.00 ,"Mārtuža, Eva",Jauno Konservatīvo frakcija,10/12/2020
Latvijas attīstībai,Nauda, €  35.00 ,"Zamurs, Gatis",Attīstībai/Par!,10/12/2020
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  2,000.00 ","Ločmele, Regīna ",Saskaņa,10/12/2020
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Muižniece, Anita",Jauno Konservatīvo frakcija,09/12/2020
Jaunā konservatīvā partija,Nauda, €  75.00 ,"Znotiņš, Reinis ",Jauno Konservatīvo frakcija,09/12/2020
Latvijas Sociālistiskā partija,Biedra nauda, €  120.00 ,"Rubiks, Artūrs",Saskaņa,08/12/2020
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  500.00 ,"Tutins, Jānis",Saskaņa,08/12/2020
Jaunā konservatīvā partija,Nauda, €  95.00 ,"Jurašs, Juris",Jauno Konservatīvo frakcija,08/12/2020
Jaunā konservatīvā partija,Nauda, €  90.00 ,"Rancāns, Juris",Jauno Konservatīvo frakcija,08/12/2020
"Par Cilvēcīgu Latviju, Politiskā partija (KPV LV)",Nauda, €  50.00 ,"Možvillo, Māris",KPV LV,08/12/2020
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Riekstiņš, Sandis",Jauno Konservatīvo frakcija,08/12/2020
Jaunā konservatīvā partija,Nauda, €  77.77 ,"Budriķis, Uldis",Jauno Konservatīvo frakcija,08/12/2020
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  300.00 ,"Kucins, Edgars",Saskaņa,26/11/2020
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Teirumnieks, Edmunds",Nacionāla Apvienība VL-TB/LNNK,26/11/2020
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  500.00 ,"Krišāns, Jānis",Saskaņa,25/11/2020
Kustība Par!,Biedra nauda, €  50.00 ,"Tērauda, Vita Anda",Attīstībai/Par!,25/11/2020
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  700.00 ,"Orlovs, Vitālijs",Saskaņa,25/11/2020
Latvijas Sociālistiskā partija,Biedra nauda, €  120.00 ,"Rubiks, Artūrs",Saskaņa,23/11/2020
"Par Cilvēcīgu Latviju, Politiskā partija (KPV LV)",Nauda, €  50.00 ,"Možvillo, Māris",KPV LV,23/11/2020
Jaunā konservatīvā partija,Nauda, €  55.55 ,"Budriķis, Uldis",Jauno Konservatīvo frakcija,23/11/2020
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Kols, Rihards ",Nacionāla Apvienība VL-TB/LNNK,20/11/2020
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Teirumnieks, Edmunds",Nacionāla Apvienība VL-TB/LNNK,16/11/2020
Jaunā konservatīvā partija,Nauda, €  85.00 ,"Butāns, Jānis",Jauno Konservatīvo frakcija,16/11/2020
Jaunā konservatīvā partija,Nauda, €  72.00 ,"Znotiņš, Reinis ",Jauno Konservatīvo frakcija,16/11/2020
"VIENOTĪBA, Partija",Nauda, €  50.00 ,"Kalniņš, Ojārs Ēriks",Jaunā Vienotība,15/11/2020
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Muižniece, Anita",Jauno Konservatīvo frakcija,12/11/2020
Jaunā konservatīvā partija,Nauda, €  227.88 ,"Zālīte-Grosa, Evita",Jauno Konservatīvo frakcija,12/11/2020
Latvijas attīstībai,Nauda, €  35.00 ,"Zamurs, Gatis",Attīstībai/Par!,12/11/2020
Kustība Par!,Nauda, €  20.00 ,"Voika, Inese",Attīstībai/Par!,12/11/2020
Jaunā konservatīvā partija,Nauda, €  350.00 ,"Cielēns, Jānis",Jauno Konservatīvo frakcija,12/11/2020
Jaunā konservatīvā partija,Nauda, €  170.00 ,"Feldmans, Krišjānis",Jauno Konservatīvo frakcija,12/11/2020
Jaunā konservatīvā partija,Nauda, €  80.00 ,"Eglītis, Gatis",Jauno Konservatīvo frakcija,11/11/2020
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  300.00 ,"Agešins, Valērijs",Saskaņa,11/11/2020
Jaunā konservatīvā partija,Nauda, €  65.00 ,"Mārtuža, Eva",Jauno Konservatīvo frakcija,10/11/2020
Jaunā konservatīvā partija,Nauda, €  70.00 ,"Zālīte-Grosa, Evita",Jauno Konservatīvo frakcija,10/11/2020
LATVIJAS ZEMNIEKU SAVIENĪBA (Centriskā partija Latvijas Zemnieku savienība),Nauda, €  500.00 ,"Kučinskis, Māris",Zaļo un Zemnieku Savienība,10/11/2020
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Žunna, Normunds ",Jauno Konservatīvo frakcija,10/11/2020
LATVIJAS ZEMNIEKU SAVIENĪBA (Centriskā partija Latvijas Zemnieku savienība),Nauda," €  2,000.00 ","Dūklavs, Jānis",Zaļo un Zemnieku Savienība,08/11/2020
Jaunā konservatīvā partija,Nauda, €  90.00 ,"Jurašs, Juris",Jauno Konservatīvo frakcija,08/11/2020
"VIENOTĪBA, Partija",Nauda, €  100.00 ,"Kalniņš, Ojārs Ēriks",Jaunā Vienotība,07/11/2020
Jaunā konservatīvā partija,Nauda, €  90.00 ,"Rancāns, Juris",Jauno Konservatīvo frakcija,06/11/2020
Jaunā konservatīvā partija,Nauda, €  70.00 ,"Riekstiņš, Sandis",Jauno Konservatīvo frakcija,06/11/2020
Jaunā konservatīvā partija,Nauda, €  77.77 ,"Budriķis, Uldis",Jauno Konservatīvo frakcija,06/11/2020
"VIENOTĪBA, Partija",Biedra nauda," €  2,000.00 ","Ašeradens, Arvils",Jaunā Vienotība,03/11/2020
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  40.00 ,"Ribakovs, Ivans",Saskaņa,02/11/2020
LATVIJAS ZEMNIEKU SAVIENĪBA (Centriskā partija Latvijas Zemnieku savienība),Nauda, €  500.00 ,"Kučinskis, Māris",Zaļo un Zemnieku Savienība,29/10/2020
Kustība Par!,Biedra nauda, €  50.00 ,"Tērauda, Vita Anda",Attīstībai/Par!,25/10/2020
Latvijas Sociālistiskā partija,Biedra nauda, €  120.00 ,"Rubiks, Artūrs",Saskaņa,22/10/2020
Jaunā konservatīvā partija,Nauda, €  75.00 ,"Butāns, Jānis",Jauno Konservatīvo frakcija,19/10/2020
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Teirumnieks, Edmunds",Nacionāla Apvienība VL-TB/LNNK,15/10/2020
Jaunā konservatīvā partija,Nauda, €  70.00 ,"Muižniece, Anita",Jauno Konservatīvo frakcija,12/10/2020
Kustība Par!,Nauda, €  20.00 ,"Voika, Inese",Attīstībai/Par!,12/10/2020
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Žunna, Normunds ",Jauno Konservatīvo frakcija,12/10/2020
Jaunā konservatīvā partija,Nauda, €  72.00 ,"Znotiņš, Reinis ",Jauno Konservatīvo frakcija,12/10/2020
Jaunā konservatīvā partija,Nauda, €  65.00 ,"Mārtuža, Eva",Jauno Konservatīvo frakcija,10/10/2020
Jaunā konservatīvā partija,Nauda, €  70.00 ,"Zālīte-Grosa, Evita",Jauno Konservatīvo frakcija,09/10/2020
Jaunā konservatīvā partija,Nauda, €  70.00 ,"Riekstiņš, Sandis",Jauno Konservatīvo frakcija,09/10/2020
Jaunā konservatīvā partija,Nauda, €  230.00 ,"Jurašs, Juris",Jauno Konservatīvo frakcija,08/10/2020
Jaunā konservatīvā partija,Nauda, €  90.00 ,"Rancāns, Juris",Jauno Konservatīvo frakcija,07/10/2020
Jaunā konservatīvā partija,Nauda, €  80.00 ,"Eglītis, Gatis",Jauno Konservatīvo frakcija,06/10/2020
Jaunā konservatīvā partija,Nauda, €  7.00 ,"Eglītis, Gatis",Jauno Konservatīvo frakcija,28/09/2020
Jaunā konservatīvā partija,Nauda, €  7.00 ,"Feldmans, Krišjānis",Jauno Konservatīvo frakcija,25/09/2020
Kustība Par!,Biedra nauda, €  50.00 ,"Tērauda, Vita Anda",Attīstībai/Par!,25/09/2020
Kustība Par!,Nauda, €  150.00 ,"Šteins, Mārtiņš ",Attīstībai/Par!,24/09/2020
Jaunā konservatīvā partija,Nauda, €  70.00 ,"Zālīte-Grosa, Evita",Jauno Konservatīvo frakcija,17/09/2020
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Teirumnieks, Edmunds",Nacionāla Apvienība VL-TB/LNNK,15/09/2020
Jaunā konservatīvā partija,Nauda, €  72.00 ,"Znotiņš, Reinis ",Jauno Konservatīvo frakcija,14/09/2020
Jaunā konservatīvā partija,Nauda, €  240.00 ,"Feldmans, Krišjānis",Jauno Konservatīvo frakcija,13/09/2020
Kustība Par!,Nauda, €  20.00 ,"Voika, Inese",Attīstībai/Par!,12/09/2020
Jaunā konservatīvā partija,Nauda, €  70.00 ,"Riekstiņš, Sandis",Jauno Konservatīvo frakcija,12/09/2020
Jaunā konservatīvā partija,Nauda, €  90.00 ,"Jurašs, Juris",Jauno Konservatīvo frakcija,11/09/2020
Jaunā konservatīvā partija,Nauda, €  150.00 ,"Beitnere-Le Galla, Dagmāra",Jauno Konservatīvo frakcija,10/09/2020
Jaunā konservatīvā partija,Nauda, €  65.00 ,"Mārtuža, Eva",Jauno Konservatīvo frakcija,10/09/2020
Latvijas attīstībai,Nauda, €  35.00 ,"Zamurs, Gatis",Attīstībai/Par!,10/09/2020
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Žunna, Normunds ",Jauno Konservatīvo frakcija,10/09/2020
Jaunā konservatīvā partija,Nauda, €  75.00 ,"Butāns, Jānis",Jauno Konservatīvo frakcija,09/09/2020
Latvijas Sociālistiskā partija,Biedra nauda, €  120.00 ,"Rubiks, Artūrs",Saskaņa,08/09/2020
Jaunā konservatīvā partija,Nauda, €  97.00 ,"Rancāns, Juris",Jauno Konservatīvo frakcija,08/09/2020
Jaunā konservatīvā partija,Nauda, €  66.66 ,"Budriķis, Uldis",Jauno Konservatīvo frakcija,08/09/2020
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Eglītis, Gatis",Jauno Konservatīvo frakcija,04/09/2020
"Par Cilvēcīgu Latviju, Politiskā partija (KPV LV)",Nauda, €  50.00 ,"Možvillo, Māris",KPV LV,01/09/2020
Attīstībai/Par!,Manta vai pakalpojums, €  107.69 ,"Zamurs, Gatis",Attīstībai/Par!,30/08/2020
"Par Cilvēcīgu Latviju, Politiskā partija (KPV LV)",Manta vai pakalpojums," €  1,140.00 ","Puga, Ivars",KPV LV,28/08/2020
"Par Cilvēcīgu Latviju, Politiskā partija (KPV LV)",Manta vai pakalpojums, €  419.95 ,"Benhena-Bēkena, Iveta",KPV LV,28/08/2020
