Partija,Veids,Vērtība,Deputāts,Frakcija,Datums
"VIENOTĪBA, Partija",Nauda, €  400.00 ,"Adamovičs, Aldis",Jaunā Vienotība,31/8/2018
LATGALES PARTIJA,Nauda, €  200.00 ,"Adamovičs, Aldis",Jaunā Vienotība,29/9/2018
LATGALES PARTIJA,Nauda, €  150.00 ,"Adamovičs, Aldis",Jaunā Vienotība,29/4/2019
LATGALES PARTIJA,Nauda, €  150.00 ,"Adamovičs, Aldis",Jaunā Vienotība,26/1/2019
LATGALES PARTIJA,Nauda, €  300.00 ,"Adamovičs, Aldis",Jaunā Vienotība,20/9/2018
LATGALES PARTIJA,Nauda, €  50.00 ,"Adamovičs, Aldis",Jaunā Vienotība,20/5/2019
LATGALES PARTIJA,Nauda, €  300.00 ,"Adamovičs, Aldis",Jaunā Vienotība,10/9/2018
"VIENOTĪBA, Partija",Nauda, €  500.00 ,"Adamovičs, Aldis",Jaunā Vienotība,1/8/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  2,000.00 ","Ādamsons, Jānis",Saskaņa,24/4/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,000.00 ","Ādamsons, Jānis",Saskaņa,15/2/2019
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  250.00 ,"Ādamsons, Jānis",Saskaņa,14/9/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,000.00 ","Agešins, Valērijs",Saskaņa,7/2/2019
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  120.00 ,"Agešins, Valērijs",Saskaņa,1/7/2019
"VIENOTĪBA, Partija",Nauda," €  1,400.00 ","Ašeradens, Arvils",Jaunā Vienotība,26/3/2018
"VIENOTĪBA, Partija",Nauda," €  1,400.00 ","Ašeradens, Arvils",Jaunā Vienotība,26/3/2018
"VIENOTĪBA, Partija",Nauda," €  8,000.00 ","Ašeradens, Arvils",Jaunā Vienotība,23/4/2019
"VIENOTĪBA, Partija",Nauda," €  3,000.00 ","Ašeradens, Arvils",Jaunā Vienotība,17/8/2018
"VIENOTĪBA, Partija",Nauda," €  1,000.00 ","Ašeradens, Arvils",Jaunā Vienotība,9/4/2019
"VIENOTĪBA, Partija",Nauda," €  3,000.00 ","Ašeradens, Arvils",Jaunā Vienotība,6/2/2019
"VIENOTĪBA, Partija",Nauda," €  4,000.00 ","Ašeradens, Arvils",Jaunā Vienotība,5/4/2019
LATVIJAS ZEMNIEKU SAVIENĪBA (Centriskā partija Latvijas Zemnieku savienība),Nauda, €  250.00 ,"Augulis, Uldis",Zaļo un Zemnieku Savienība,30/7/2019
Zaļo un Zemnieku savienība,Nauda," €  2,000.00 ","Augulis, Uldis",Zaļo un Zemnieku Savienība,22/2/2018
Zaļo un Zemnieku savienība,Nauda," €  3,000.00 ","Augulis, Uldis",Zaļo un Zemnieku Savienība,15/8/2018
Zaļo un Zemnieku savienība,Nauda, €  500.00 ,"Augulis, Uldis",Zaļo un Zemnieku Savienība,12/12/2019
Kustība Par!,Nauda, €  100.00 ,"Baumane, Krista",Attīstībai/Par!,26/3/2018
Attīstībai/Par!,Nauda, €  20.00 ,"Baumane, Krista",Attīstībai/Par!,21/5/2019
Kustība Par!,Nauda," €  2,500.00 ","Baumane, Krista",Attīstībai/Par!,21/5/2018
Kustība Par!,Nauda," €  2,500.00 ","Baumane, Krista",Attīstībai/Par!,20/5/2018
Kustība Par!,Nauda," €  1,000.00 ","Baumane, Krista",Attīstībai/Par!,10/4/2018
Jaunā konservatīvā partija,Nauda, €  300.00 ,"Beitnere-Le Galla, Dagmāra",JKP,29/4/2019
Jaunā konservatīvā partija,Nauda, €  50.00 ,"Beitnere-Le Galla, Dagmāra",JKP,26/6/2019
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Beitnere-Le Galla, Dagmāra",JKP,22/12/2018
Jaunā konservatīvā partija,Nauda, €  15.00 ,"Beitnere-Le Galla, Dagmāra",JKP,20/8/2018
Jaunā konservatīvā partija,Nauda, €  300.00 ,"Beitnere-Le Galla, Dagmāra",JKP,16/7/2019
Jaunā konservatīvā partija,Nauda, €  400.00 ,"Beitnere-Le Galla, Dagmāra",JKP,9/12/2019
Jaunā konservatīvā partija,Nauda, €  500.00 ,"Beitnere-Le Galla, Dagmāra",JKP,8/10/2019
Jaunā konservatīvā partija,Nauda, €  600.00 ,"Beitnere-Le Galla, Dagmāra",JKP,8/9/2019
Jaunā konservatīvā partija,Nauda, €  300.00 ,"Beitnere-Le Galla, Dagmāra",JKP,8/8/2019
Jaunā konservatīvā partija,Nauda, €  500.00 ,"Beitnere-Le Galla, Dagmāra",JKP,8/5/2019
Jaunā konservatīvā partija,Nauda, €  400.00 ,"Beitnere-Le Galla, Dagmāra",JKP,6/11/2019
