Surname_name,Mandate_status,Frakcija,DeclYear,filed_as,Committees,Interest_Type,Entity_Type,Entity_name,Entity_RegNum,Position,Income_type,Income_value,Fin_v,Fin_v_value,Entity_Country,Entity_Municipality,Entity_Region,NACE_1,Specif
"Adamovičs, Aldis",Pilntiesīgs mandāts,Jaunā Vienotība,2018,Deputāts - Latvijas Republikas Saeima,"Tautsaimniecības, agrārās, vides un reģionālās politikas komisija (no 20.11.2018); Mandātu, ētikas un iesniegumu komisija (Sekretārs, no 20.11.2018)",Position | Private Sector,Biedrība,"Džudo sporta klubs ""Jaunība LV""",40008109526,Valdes loceklis,,,,,Latvia,Preiļu municipality,Latgale,"Māksla, izklaide, sports un atpūta",
"Adamovičs, Aldis",Pilntiesīgs mandāts,Jaunā Vienotība,2018,Deputāts - Latvijas Republikas Saeima,"Tautsaimniecības, agrārās, vides un reģionālās politikas komisija (no 20.11.2018); Mandātu, ētikas un iesniegumu komisija (Sekretārs, no 20.11.2018)",Holding | Commercial Companies,Akciju Sabiedrība,Latvijas Kuģniecība,40003021108,,,,Akcijas, €  227.10 ,Latvia,Rīgas municipality,Rīga/Pierīga,Finanšu un apdrošināšanas darbības,
"Adamovičs, Aldis",Pilntiesīgs mandāts,Jaunā Vienotība,2019,Deputāts - Latvijas Republikas Saeima,"Tautsaimniecības, agrārās, vides un reģionālās politikas komisija (līdz 31.01.2019); Mandātu, ētikas un iesniegumu komisija (Sekretārs); Valsts pārvaldes un pašvaldības komisija (no 31.01.2019)",Position | Private Sector,Biedrība,"Džudo sporta klubs ""Jaunība LV""",40008109526,Valdes loceklis,,,,,Latvia,Preiļu municipality,Latgale,"Māksla, izklaide, sports un atpūta",
"Adamovičs, Aldis",Pilntiesīgs mandāts,Jaunā Vienotība,2019,Deputāts - Latvijas Republikas Saeima,"Tautsaimniecības, agrārās, vides un reģionālās politikas komisija (līdz 31.01.2019); Mandātu, ētikas un iesniegumu komisija (Sekretārs); Valsts pārvaldes un pašvaldības komisija (no 31.01.2019)",Holding | Commercial Companies,Akciju Sabiedrība,Latvijas Kuģniecība,40003021108,,,,Akcijas, € 757.00 ,Latvia,Rīgas municipality,Rīga/Pierīga,Finanšu un apdrošināšanas darbības,
"Ādamsons, Jānis",Pilntiesīgs mandāts,Saskaņa,2018,Deputāts - Latvijas Republikas Saeima,"Aizsardzības, iekšlietu un korupcijas novēršanas komisija (no 20.11.2018); Pieprasījumu komisija (no 20.11.2018)",Position | Private Sector,Biedrība,"Gods, Taisnīgums, Likumība",40008098398,Priekšsēdētājs,,,,,Latvia,Rīgas municipality,Rīga/Pierīga,"Pilsoniskā sabiedrība, profesionāļu apvienības, citi pakalpojumi","CSO - Politics, democracy"
"Ādamsons, Jānis",Pilntiesīgs mandāts,Saskaņa,2018,Deputāts - Latvijas Republikas Saeima,"Aizsardzības, iekšlietu un korupcijas novēršanas komisija (no 20.11.2018); Pieprasījumu komisija (no 20.11.2018)",Income | Foreign Institution,Ārvalsts Iestāde,Krievijas Federācijas militārā pensija,T0900007972,,Pensija," € 8,400.00 ",,,Russia,,,Ārvalsts Iestādes,
"Ādamsons, Jānis",Pilntiesīgs mandāts,Saskaņa,2019,Deputāts - Latvijas Republikas Saeima,"Aizsardzības, iekšlietu un korupcijas novēršanas komisija; Pieprasījumu komisija",Position | Private Sector,Biedrība,"Gods, Taisnīgums, Likumība",40008098398,Priekšsēdētājs,,,,,Latvia,Rīgas municipality,Rīga/Pierīga,"Pilsoniskā sabiedrība, profesionāļu apvienības, citi pakalpojumi","CSO - Politics, democracy"
"Ādamsons, Jānis",Pilntiesīgs mandāts,Saskaņa,2019,Deputāts - Latvijas Republikas Saeima,"Aizsardzības, iekšlietu un korupcijas novēršanas komisija; Pieprasījumu komisija",Income | Foreign Institution,Ārvalsts Iestāde,Krievijas Federācijas militārā pensija,T0900007972,,Pensija," € 8,400.00 ",,,Russia,,,Ārvalsts Iestādes,
"Agešins, Valērijs",Pilntiesīgs mandāts,Saskaņa,2018,Deputāts - Latvijas Republikas Saeima,"Juridiskā komisija (Sekretārs, no 20.11.2018); Nacionālās drošības komisija (no 20.11.2018)",Position | Private Sector,Sabiedrība ar Ierobežotu Atbildību,Baltijas Starptautiskā Akadēmija,40003101808,Pasniedzējs (lektors),,,,,Latvia,Rīgas municipality,Rīga/Pierīga,Izglitība ,
"Agešins, Valērijs",Pilntiesīgs mandāts,Saskaņa,2018,Deputāts - Latvijas Republikas Saeima,"Juridiskā komisija (Sekretārs, no 20.11.2018); Nacionālās drošības komisija (no 20.11.2018)",Income | Private Sector,Sabiedrība ar Ierobežotu Atbildību,Baltijas Starptautiskā Akadēmija,40003101808,,Alga," €  1,144.87 ",,,Latvia,Rīgas municipality,Rīga/Pierīga,Izglitība ,
