Saņēmējs,Ziedojuma veids,Vērtība,Deputāts,Frakcija,Datums
LATVIJAS ZEMNIEKU SAVIENĪBA (Centriskā partija Latvijas Zemnieku savienība),Nauda,15,Jānis Dūklavs,Zaļo un Zemnieku Savienība,03/12/2020
LATVIJAS ZEMNIEKU SAVIENĪBA (Centriskā partija Latvijas Zemnieku savienība),Nauda,2000,Jānis Dūklavs,Zaļo un Zemnieku Savienība,11/08/2020
LATVIJAS ZEMNIEKU SAVIENĪBA (Centriskā partija Latvijas Zemnieku savienība),Nauda,50,Jānis Dūklavs,Zaļo un Zemnieku Savienība,12/18/2020
Zaļo un Zemnieku savienība,Nauda,3000,Jānis Dūklavs,Zaļo un Zemnieku Savienība,02/08/2018
Zaļo un Zemnieku savienība,Nauda,3000,Jānis Dūklavs,Zaļo un Zemnieku Savienība,09/04/2018
Zaļo un Zemnieku savienība,Nauda,500,Jānis Dūklavs,Zaļo un Zemnieku Savienība,10/29/2018
Zaļo un Zemnieku savienība,Nauda,100,Jānis Dūklavs,Zaļo un Zemnieku Savienība,03/05/2019
Zaļo un Zemnieku savienība,Nauda,500,Jānis Dūklavs,Zaļo un Zemnieku Savienība,12/12/2019
Jaunā konservatīvā partija,Nauda,15,Jānis Butāns,Jauno konservatīvo frakcija,06/07/2018
Jaunā konservatīvā partija,Nauda,20,Jānis Butāns,Jauno konservatīvo frakcija,06/07/2018
Jaunā konservatīvā partija,Nauda,35,Jānis Butāns,Jauno konservatīvo frakcija,08/02/2018
Jaunā konservatīvā partija,Nauda,25,Jānis Butāns,Jauno konservatīvo frakcija,08/08/2018
Jaunā konservatīvā partija,Nauda,25,Jānis Butāns,Jauno konservatīvo frakcija,08/20/2018
Jaunā konservatīvā partija,Nauda,350,Jānis Butāns,Jauno konservatīvo frakcija,08/28/2018
Jaunā konservatīvā partija,Nauda,40,Jānis Butāns,Jauno konservatīvo frakcija,08/29/2018
Jaunā konservatīvā partija,Nauda,50,Jānis Butāns,Jauno konservatīvo frakcija,09/10/2018
Jaunā konservatīvā partija,Nauda,25,Jānis Butāns,Jauno konservatīvo frakcija,09/13/2018
Jaunā konservatīvā partija,Nauda,120,Jānis Butāns,Jauno konservatīvo frakcija,09/20/2018
Jaunā konservatīvā partija,Nauda,150,Jānis Butāns,Jauno konservatīvo frakcija,09/25/2018
Jaunā konservatīvā partija,Nauda,50,Jānis Butāns,Jauno konservatīvo frakcija,10/01/2018
Jaunā konservatīvā partija,Nauda,25,Jānis Butāns,Jauno konservatīvo frakcija,10/11/2018
Jaunā konservatīvā partija,Nauda,25,Jānis Butāns,Jauno konservatīvo frakcija,11/02/2018
Jaunā konservatīvā partija,Nauda,10,Jānis Butāns,Jauno konservatīvo frakcija,12/18/2018
Jaunā konservatīvā partija,Nauda,10,Jānis Butāns,Jauno konservatīvo frakcija,01/15/2019
Jaunā konservatīvā partija,Nauda,20,Jānis Butāns,Jauno konservatīvo frakcija,02/12/2019
Jaunā konservatīvā partija,Nauda,225,Jānis Butāns,Jauno konservatīvo frakcija,03/04/2019
Jaunā konservatīvā partija,Nauda,230,Jānis Butāns,Jauno konservatīvo frakcija,04/15/2019
Jaunā konservatīvā partija,Nauda,230,Jānis Butāns,Jauno konservatīvo frakcija,05/06/2019
Jaunā konservatīvā partija,Nauda,30,Jānis Butāns,Jauno konservatīvo frakcija,06/04/2019
Jaunā konservatīvā partija,Nauda,230,Jānis Butāns,Jauno konservatīvo frakcija,06/07/2019
Jaunā konservatīvā partija,Nauda,230,Jānis Butāns,Jauno konservatīvo frakcija,07/09/2019
Jaunā konservatīvā partija,Nauda,230,Jānis Butāns,Jauno konservatīvo frakcija,08/06/2019
Jaunā konservatīvā partija,Nauda,115,Jānis Butāns,Jauno konservatīvo frakcija,08/15/2019
Jaunā konservatīvā partija,Nauda,230,Jānis Butāns,Jauno konservatīvo frakcija,09/13/2019
Jaunā konservatīvā partija,Nauda,230,Jānis Butāns,Jauno konservatīvo frakcija,10/10/2019
Jaunā konservatīvā partija,Nauda,230,Jānis Butāns,Jauno konservatīvo frakcija,11/19/2019
Jaunā konservatīvā partija,Nauda,230,Jānis Butāns,Jauno konservatīvo frakcija,01/02/2020
Jaunā konservatīvā partija,Nauda,75,Jānis Butāns,Jauno konservatīvo frakcija,01/15/2020
Jaunā konservatīvā partija,Nauda,75,Jānis Butāns,Jauno konservatīvo frakcija,02/06/2020
Jaunā konservatīvā partija,Nauda,75,Jānis Butāns,Jauno konservatīvo frakcija,04/01/2020
Jaunā konservatīvā partija,Nauda,75,Jānis Butāns,Jauno konservatīvo frakcija,04/07/2020
Jaunā konservatīvā partija,Nauda,75,Jānis Butāns,Jauno konservatīvo frakcija,05/05/2020
Jaunā konservatīvā partija,Nauda,75,Jānis Butāns,Jauno konservatīvo frakcija,06/03/2020
Jaunā konservatīvā partija,Nauda,75,Jānis Butāns,Jauno konservatīvo frakcija,07/20/2020
Jaunā konservatīvā partija,Nauda,75,Jānis Butāns,Jauno konservatīvo frakcija,08/17/2020
Jaunā konservatīvā partija,Nauda,75,Jānis Butāns,Jauno konservatīvo frakcija,09/09/2020
Jaunā konservatīvā partija,Nauda,75,Jānis Butāns,Jauno konservatīvo frakcija,10/19/2020
Jaunā konservatīvā partija,Nauda,85,Jānis Butāns,Jauno konservatīvo frakcija,11/16/2020
Jaunā konservatīvā partija,Nauda,100,Jānis Butāns,Jauno konservatīvo frakcija,12/17/2020
Jaunā konservatīvā partija,Nauda,80,Jānis Butāns,Jauno konservatīvo frakcija,01/18/2021
Jaunā konservatīvā partija,Nauda,85,Jānis Butāns,Jauno konservatīvo frakcija,02/12/2021
Jaunā konservatīvā partija,Nauda,170,Jānis Butāns,Jauno konservatīvo frakcija,04/06/2021
Jaunā konservatīvā partija,Nauda,85,Jānis Butāns,Jauno konservatīvo frakcija,05/10/2021
Jaunā konservatīvā partija,Nauda,170,Jānis Butāns,Jauno konservatīvo frakcija,07/06/2021
Jaunā konservatīvā partija,Nauda,85,Jānis Butāns,Jauno konservatīvo frakcija,09/15/2021
Jaunā konservatīvā partija,Nauda,5,Jānis Butāns,Jauno konservatīvo frakcija,10/08/2021
Jaunā konservatīvā partija,Nauda,85,Jānis Butāns,Jauno konservatīvo frakcija,10/11/2021
Jaunā konservatīvā partija,Nauda,85,Jānis Butāns,Jauno konservatīvo frakcija,11/22/2021
Jaunā konservatīvā partija,Nauda,85,Jānis Butāns,Jauno konservatīvo frakcija,12/10/2021
Jaunā konservatīvā partija,Nauda,20,Eva Mārtuža,Jauno konservatīvo frakcija,01/02/2018
Jaunā konservatīvā partija,Nauda,20,Eva Mārtuža,Jauno konservatīvo frakcija,01/02/2018
Jaunā konservatīvā partija,Nauda,50,Eva Mārtuža,Jauno konservatīvo frakcija,06/10/2018
Jaunā konservatīvā partija,Nauda,50,Eva Mārtuža,Jauno konservatīvo frakcija,06/23/2018
Jaunā konservatīvā partija,Nauda,15,Eva Mārtuža,Jauno konservatīvo frakcija,07/04/2018
Jaunā konservatīvā partija,Nauda,50,Eva Mārtuža,Jauno konservatīvo frakcija,08/03/2018
Jaunā konservatīvā partija,Nauda,50,Eva Mārtuža,Jauno konservatīvo frakcija,09/15/2018
Jaunā konservatīvā partija,Nauda,70,Eva Mārtuža,Jauno konservatīvo frakcija,10/01/2018
Jaunā konservatīvā partija,Nauda,20,Eva Mārtuža,Jauno konservatīvo frakcija,02/04/2019
Jaunā konservatīvā partija,Nauda,20,Eva Mārtuža,Jauno konservatīvo frakcija,03/04/2019
Jaunā konservatīvā partija,Nauda,20,Eva Mārtuža,Jauno konservatīvo frakcija,04/04/2019
Jaunā konservatīvā partija,Nauda,20,Eva Mārtuža,Jauno konservatīvo frakcija,05/04/2019
Jaunā konservatīvā partija,Nauda,20,Eva Mārtuža,Jauno konservatīvo frakcija,06/04/2019
Jaunā konservatīvā partija,Nauda,90,Eva Mārtuža,Jauno konservatīvo frakcija,06/17/2019
