Deputāts/e,Frakcija,Dzimums,Dzimšanas gads,Dzīvesvieta,Izglitība,Politiska partija,Mandāta statuss,Ievelēts/-a no saraksta,Darbība 13.Saeimā,E-pasta adrese
Agita Zariņa-Stūre,Frakcija JAUNĀ VIENOTĪBA,S,1971,Valmieras novads,"Augstākā izglītība (Latvijas Universitātes Pedagoģijas un psiholoģijas fakultāte 1994 latviešu valodas un literatūras skolotājs, audzināšanas darba metodika; Rīgas Pedagoģijas un izglītības kvalitātes augstskola 2004 skolvadības maģistrs; Latvijas Universitāte 2012 pielīdzināts pedagoģijas maģistrs)","Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/0/96A252C4C3BA55CFC22588E0002AE0B8?OpenDocument&lang=LV,Agita.Zarina-Sture@saeima.lv
Agnese Krasta,Frakcija JAUNĀ VIENOTĪBA,S,1986,Rīga,"Augstākā izglītība (Latvijas Universitāte 2008 Sociālo zinātņu bakalaurs politikas zinātnē; Latvijas Universitāte 2012 Sociālo zinātņu bakalaurs tiesību zinātnē; Latvijas Universitāte 2017 Profesionālā maģistra grāds tiesību zinātnē, jurists)","Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/0/DE40EC1D5AC5DCD9C22588E0002AE07A?OpenDocument&lang=LV,Agnese.Krasta@saeima.lv
Ainars Latkovskis,Frakcija JAUNĀ VIENOTĪBA,V,1967,Siguldas novads,Augstākā izglītība (Latvijas Universitāte 1993 Vēsturnieks; Džordža Vašingtona Universitāte 1995 Starptautisko attiecību maģistrs),"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/depArchive.html?ReadForm&unid=974B603F5A87D059C22588E0002AE0AF&url=./0/974B603F5A87D059C22588E0002AE0AF?OpenDocument&lang=LV,ainars.latkovskis@saeima.lv
Ainārs Šlesers,Frakcija LATVIJA PIRMAJĀ VIETĀ,V,1970,Rīga,Vidējā izglītība (Rīgas Industriālais tehnikums 1989 štanču un presformu ražošana (tehniķis - tehnologs)),LATVIJA PIRMAJĀ VIETĀ,Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/depArchive.html?ReadForm&unid=AB8ACC42A7D0758BC22588E0002AE337&url=./0/AB8ACC42A7D0758BC22588E0002AE337?OpenDocument&lang=LV,Ainars.Slesers@saeima.lv
Aiva Vīksna,"Frakcija “APVIENOTAIS SARAKSTS – Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija”",S,1967,Ropažu novads,"Augstākā izglītība (Latvijas Universitāte 1991 Ķīmiķa, pasniedzēja kvalifikācija)",,Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/0/4D6DE890139F0F5FC22588E0002AE510?OpenDocument&lang=LV,Aiva.Viksna@saeima.lv
Aleksandrs Kiršteins,Frakcija “Nacionālā apvienība”,V,1948,Rīga,Augstākā izglītība (Rīgas Politehniskais institūts 1972 Arhitektūra),"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/depArchive.html?ReadForm&unid=4FF243CF0259DB05C22588E0002AE27C&url=./0/4FF243CF0259DB05C22588E0002AE27C?OpenDocument&lang=LV,Aleksandrs.Kirsteins@saeima.lv
Aleksejs Rosļikovs,Frakcija “Stabilitātei!”,V,1984,Rīga,Augstākā izglītība (Biznesa augstskola Turība 2011 Uzņēmējdarbības vadība),,Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/0/275661C942308116C22588E0002AE1DD?OpenDocument&lang=LV,Aleksejs.Roslikovs@saeima.lv
Alīna Gendele,Frakcija JAUNĀ VIENOTĪBA,S,1959,Ludzas novads,Augstākā izglītība (Daugavpils Universitāte 2011 Izglītības zinātņu maģistra grāds pedagoģijā; Latvijas Sporta pedagoģijas akadēmija 1983 Fiziskās kultūras un sporta pasniedzējs),,Apstiprināts uz laiku,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/depArchive.html?ReadForm&unid=A32DB09A89AE2AB3C22588E0002AE053&url=./0/A32DB09A89AE2AB3C22588E0002AE053?OpenDocument&lang=LV,Alina.Gendele@saeima.lv
Andrejs Ceļapīters,Frakcija JAUNĀ VIENOTĪBA,V,1964,Madonas novads,"Augstākā izglītība (Latvijas Universitāte 1990 Tiesību zinātne, jurists)",,Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/0/71A84B34F364BB94C22588E0002AE0BA?OpenDocument&lang=LV,Andrejs.Celapiters@saeima.lv
Andrejs Judins,Frakcija JAUNĀ VIENOTĪBA,V,1970,Jūrmala,Augstākā izglītība (Latvijas Universitāte 1993 jurists),"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/depArchive.html?ReadForm&unid=24A2D1934BB744F2C22588E0002AE06F&url=./0/24A2D1934BB744F2C22588E0002AE06F?OpenDocument&lang=LV,Andrejs.Judins@saeima.lv
