Surname_name,UI,Former,Frakcija,DeclYear,Interest_Type,Entity_name,Entity_RegNum,Legal_form,Municipality,Region,NACE_1,Specif,Position,Income_type,Income_value,Fin_v,Fin_v_number,Fin_v_value
"Adamovičs, Aldis",LSRD-01,MP,Jaunā Vienotība,2018,Position / Private,"Dzudo sporta klubs ""Jaunība LV""",40008109526,BDR,Preiļu municipality,Latgale,"R - Arts, Entertainment, Sports and Recreation",,Valdes loceklis,,,,,
"Adamovičs, Aldis",LSRD-01,MP,Jaunā Vienotība,2018,Holding,"Akciju sabiedrība ""LATVIJAS KUĢNIECĪBA""",40003021108,AS,Rīgas municipality,Rīga/Pierīga,K - Financial and insurance activities,,,,,Akcijas,757," € 227,10 "
"Ādamsons, Jānis",LSRD-02,MP,Saskaņa,2018,Position / Private,"""Gods, Taisnīgums, Likumība""",40008098398,BDR,Rīgas municipality,Rīga/Pierīga,S - Civil Society; Professionist Associations; Other service activities,"CSO - Politics, democracy",Priekšsēdētājs,,,,,
"Agešins, Valērijs",LSRD-03,Local politician,Saskaņa,2018,Position / Private,"SIA ""BALTIJAS STARPTAUTISKĀ AKADĒMIJA""",40003101808,SIA,Rīgas municipality,Rīga/Pierīga,P - Education ,,Pasniedzējs (lektors),,,,,
"Agešins, Valērijs",LSRD-03,Local politician,Saskaņa,2018,Income / P-A-R,"SIA ""BALTIJAS STARPTAUTISKĀ AKADĒMIJA""",40003101808,SIA,Rīgas municipality,Rīga/Pierīga,P - Education ,,,Alga," € 1.144,87 ",,,
"Ašeradens, Arvils",LSRD-04,Minister,Jaunā Vienotība,2018,Position / Private,"Biedrība ""Rojas jahtklubs""",40008133617,BDR,Rojas municipality,Kurzeme,"R - Arts, Entertainment, Sports and Recreation",,Valdes loceklis,,,,,
"Ašeradens, Arvils",LSRD-04,Minister,Jaunā Vienotība,2018,Position / Private,"""Mediju brīvības un attīstības fonds""",40008108179,NOD,Rīgas municipality,Rīga/Pierīga,S - Civil Society; Professionist Associations; Other service activities,"CSO - Politics, democracy",Valdes loceklis,,,,,
"Ašeradens, Arvils",LSRD-04,Minister,Jaunā Vienotība,2018,Income / Private,"SE ""Capitalia""",40003933213,SE,Rīgas municipality,Rīga/Pierīga,K - Financial and insurance activities,,,Procenti," € 1.320,00 ",,,
"Ašeradens, Arvils",LSRD-04,Minister,Jaunā Vienotība,2018,Income / Private,VALSTS KASE',90000597275,State institution,Rīgas municipality,Rīga/Pierīga,K - Financial and insurance activities,,,Procenti," €9.729,43 ",,,
"Augulis, Uldis",LSRD-05,Minister,ZZS,2018,Position / Private,"Graudaudzētāju kooperatīvā sabiedrība ""DOBELES IESALS""",43603008514,KB,Dobeles municipality,Zemgale,"A - Agriculture, forestry and fishing",,Biedrs,,,,,
"Augulis, Uldis",LSRD-05,Minister,ZZS,2018,Position / Private,"Auguļa zemnieku saimniecība ""AUGUĻI""",45101001062,ZEM,Dobeles municipality,Zemgale,"A - Agriculture, forestry and fishing",,Īpašnieks,,,,,
"Augulis, Uldis",LSRD-05,Minister,ZZS,2018,Holding,"Akciju sabiedrība ""RĪGAS DZIRNAVNIEKS""",40003026603,AS,Rīgas municipality,Rīga/Pierīga,"A - Agriculture, forestry and fishing",,,,,Kapitāla daļas,67," € 71,00 "
"Augulis, Uldis",LSRD-05,Minister,ZZS,2018,Income / Private,"SIA ""Latvijas Grauds""",48503023156,SIA,Dobeles municipality,Zemgale,"A - Agriculture, forestry and fishing",,,Ienāk. no saimn. darbības un komercdarb," € 5.653,56 ",,,
"Augulis, Uldis",LSRD-05,Minister,ZZS,2018,Income / Private,"SIA ""Green Motors""",40203013086,SIA,Rīgas municipality,Rīga/Pierīga,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,,,Ienākums no īpašuma pārdošanas," € 10.500,00 ",,,
"Augulis, Uldis",LSRD-05,Minister,ZZS,2018,Income / Private,"SIA ""Stiga RM""",40003194846,SIA,Kuldīgas municipality,Kurzeme,"A - Agriculture, forestry and fishing",,,Ienāk. no saimn. darbības un komercdarb," € 7.500,00 ",,,
"Beitnere-Le Galla, Dagmāra",LSRD-06,Local politician,JKP,2018,Position / Private,LATVIJAS UNIVERSITĀTE,90000076669,State institution,Rīgas municipality,Rīga/Pierīga,P - Education ,,Vadošais pētnieks,,,,,
"Beitnere-Le Galla, Dagmāra",LSRD-06,Local politician,JKP,2018,Position / Private,"""FRONDA""",40008084862,BDR,Rīgas municipality,Rīga/Pierīga,P - Education ,,Biedre,,,,,
"Beitnere-Le Galla, Dagmāra",LSRD-06,Local politician,JKP,2018,Income / Private,'LATVIJAS NACIONĀLĀ BIBLIOTĒKA',90000057827,State institution,Rīgas municipality,Rīga/Pierīga,"R - Arts, Entertainment, Sports and Recreation",,,Honorārs," € 75,00 ",,,
"Beitnere-Le Galla, Dagmāra",LSRD-06,Local politician,JKP,2018,Income / Private,'JŪRMALAS PILSĒTAS MUZEJS',90000056408,State institution,Jūrmalas municipality Vidzeme,,"R - Arts, Entertainment, Sports and Recreation",,,Honorārs," € 47,56 ",,,
"Beitnere-Le Galla, Dagmāra",LSRD-06,Local politician,JKP,2018,Income / Private,ZIEMEĻU MINISTRU PADOMES BIROJS LATVIJĀ,90000168075,Foreign Institution,Rīgas municipality,Rīga/Pierīga,O - Public Administration and defense; compulsatory social security,,,Honorārs," € 117,65 ",,,
"Benhena-Bēkena, Iveta",LSRD-07,Private,KPV LV,2018,Income / Private,"SIA ""KLOTA""",40002073348,SIA,Rīgas municipality,Rīga/Pierīga,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,,,Ienāk. no saimn. darbības un komercdarb," € 500,00 ",,,
"Bergmanis, Raimonds",LRSD-08,Minister,ZZS,2018,Position / Private,Latvijas Olimpiskā komiteja,50008022421,BDR,Rīgas municipality,Rīga/Pierīga,"R - Arts, Entertainment, Sports and Recreation",,Viceprezidents,,,,,
"Bergmanis, Raimonds",LRSD-08,Minister,ZZS,2018,Position / Private,Latvijas Olimpiskā akadēmija,40008073021,BDR,Rīgas municipality,Rīga/Pierīga,P - Education ,,Senators,,,,,
"Bergmanis, Raimonds",LRSD-08,Minister,ZZS,2018,Position / Private,Latvijas Olimpiešu klubs,40008023637,BDR,Rīgas municipality,Rīga/Pierīga,"R - Arts, Entertainment, Sports and Recreation",,Valdes loceklis,,,,,
